https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
,,https://doi.org/10.1097%2FNEN.0b013e31821f891f,PMID:21666502,"Shitaka Y, Tran HT, Bennett RE, Sanchez L, Levy MA, Dikranian K, Brody DL. Repetitive closed-skull traumatic brain injury in mice causes persistent multifocal axonal injury and microglial reactivityJ Neuropathol Exp Neurol. 2011 Jul;70(7):551-67. doi: 10.1097\/NEN.0b013e31821f891f. PMC3118973","Shitaka Y, Tran HT, Bennett RE, Sanchez L, Levy MA, Dikranian K, Brody DL. Repetitive closed-skull traumatic brain injury in mice causes persistent multifocal axonal injury and microglial reactivityJ Neuropathol Exp Neurol. 2011 Jul;70(7):551-67. doi: 10.1097\/NEN.0b013e31821f891f. PMC3118973",male,male,mouse,C57BL,C57BL/6J,,41,"Shitaka Y, Tran HT, Bennett RE, Sanchez L, Levy MA, Dikranian K, Brody DL. Repetitive closed-skull traumatic brain injury in mice causes persistent multifocal axonal injury and microglial reactivityJ Neuropathol Exp Neurol. 2011 Jul;70(7):551-67. doi: 10.1097\/NEN.0b013e31821f891f. PMC3118973","Shitaka Y, Tran HT, Bennett RE, Sanchez L, Levy MA, Dikranian K, Brody DL. Repetitive closed-skull traumatic brain injury in mice causes persistent multifocal axonal injury and microglial reactivityJ Neuropathol Exp Neurol. 2011 Jul;70(7):551-67. doi: 10.1097\/NEN.0b013e31821f891f. PMC3118973",male,male,electromagnetic stereotaxic impact,Controlled cortical impact model
Infant,,https://doi.org/10.1089%2Fneu.2010.1635,PMID:21250918,"Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546","Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546",female,female,"pig, rat",Sprague-Dawley,Sprague-Dawley,,42,"Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546","Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546",female,female,"Controlled cortical impact device, inertial injury apparatus",Controlled cortical impact model
Infant,,https://doi.org/10.1089%2Fneu.2010.1635,PMID:21250918,"Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546","Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546",female,female,"pig, rat",Sprague-Dawley,Sprague-Dawley,,505,"Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546","Kilbaugh TJ, Bhandare S, Lorom DH, Saraswati M, Robertson CL, Margulies SS. Cyclosporin A preserves mitochondrial function after traumatic brain injury in the immature rat and pigletJ Neurotrauma. 2011 May;28(5):763-74. doi: 10.1089\/neu.2010.1635. Epub 2011 Apr 12. PMC3125546",female,female,"Controlled cortical impact device, inertial injury apparatus",Other
Adult,25 - 30 g,https://doi.org/10.1089%2Fneu.2010.1499,PMID:21341976,"Pleasant JM, Carlson SW, Mao H, Scheff SW, Yang KH, Saatman KE. Rate of neurodegeneration in the mouse controlled cortical impact model is influenced by impactor tip shape: implications for mechanistic and therapeutic studiesJ Neurotrauma. 2011 Nov;28(11):2245-62. doi: 10.1089\/neu.2010.1499. Epub 2011 Apr 21. PMC3218388","Pleasant JM, Carlson SW, Mao H, Scheff SW, Yang KH, Saatman KE. Rate of neurodegeneration in the mouse controlled cortical impact model is influenced by impactor tip shape: implications for mechanistic and therapeutic studiesJ Neurotrauma. 2011 Nov;28(11):2245-62. doi: 10.1089\/neu.2010.1499. Epub 2011 Apr 21. PMC3218388",male,male,mouse,C57BL,C57BL/6J,TBI-0310 Impactor,43,"Pleasant JM, Carlson SW, Mao H, Scheff SW, Yang KH, Saatman KE. Rate of neurodegeneration in the mouse controlled cortical impact model is influenced by impactor tip shape: implications for mechanistic and therapeutic studiesJ Neurotrauma. 2011 Nov;28(11):2245-62. doi: 10.1089\/neu.2010.1499. Epub 2011 Apr 21. PMC3218388","Pleasant JM, Carlson SW, Mao H, Scheff SW, Yang KH, Saatman KE. Rate of neurodegeneration in the mouse controlled cortical impact model is influenced by impactor tip shape: implications for mechanistic and therapeutic studiesJ Neurotrauma. 2011 Nov;28(11):2245-62. doi: 10.1089\/neu.2010.1499. Epub 2011 Apr 21. PMC3218388",male,male,pneumatic controlled cortical impact device,Controlled cortical impact model
,280 - 350 g,https://doi.org/10.1089%2Fneu.2011.1966,PMID:21815786,"Shin SS, Bray ER, Dixon CE. Effects of nicotine administration on striatal dopamine signaling after traumatic brain injury in ratsJ Neurotrauma. 2012 Mar 20;29(5):843-50. doi: 10.1089\/neu.2011.1966. Epub 2011 Oct 24. PMC3303095","Shin SS, Bray ER, Dixon CE. Effects of nicotine administration on striatal dopamine signaling after traumatic brain injury in ratsJ Neurotrauma. 2012 Mar 20;29(5):843-50. doi: 10.1089\/neu.2011.1966. Epub 2011 Oct 24. PMC3303095",No sex reported,No sex reported,rat,Sprague-Dawley,Sprague-Dawley,,44,"Shin SS, Bray ER, Dixon CE. Effects of nicotine administration on striatal dopamine signaling after traumatic brain injury in ratsJ Neurotrauma. 2012 Mar 20;29(5):843-50. doi: 10.1089\/neu.2011.1966. Epub 2011 Oct 24. PMC3303095","Shin SS, Bray ER, Dixon CE. Effects of nicotine administration on striatal dopamine signaling after traumatic brain injury in ratsJ Neurotrauma. 2012 Mar 20;29(5):843-50. doi: 10.1089\/neu.2011.1966. Epub 2011 Oct 24. PMC3303095",No sex reported,No sex reported,Controlled cortical impact device,Controlled cortical impact model
Adult,,https://doi.org/10.1089%2Fneu.2012.2456,PMID:22642287,"Washington PM, Forcelli PA, Wilkins T, Zapple DN, Parsadanian M, Burns MP. The effect of injury severity on behavior: a phenotypic study of cognitive and emotional deficits after mild, moderate, and severe controlled cortical impact injury in miceJ Neurotrauma. 2012 Sep;29(13):2283-96. doi: 10.1089\/neu.2012.2456. Epub 2012 Aug 3. PMC3430487","Washington PM, Forcelli PA, Wilkins T, Zapple DN, Parsadanian M, Burns MP. The effect of injury severity on behavior: a phenotypic study of cognitive and emotional deficits after mild, moderate, and severe controlled cortical impact injury in miceJ Neurotrauma. 2012 Sep;29(13):2283-96. doi: 10.1089\/neu.2012.2456. Epub 2012 Aug 3. PMC3430487",male,male,mouse,C57BL,C57BL/6J,Leica Impact One Stereotaxic Impactor device,45,"Washington PM, Forcelli PA, Wilkins T, Zapple DN, Parsadanian M, Burns MP. The effect of injury severity on behavior: a phenotypic study of cognitive and emotional deficits after mild, moderate, and severe controlled cortical impact injury in miceJ Neurotrauma. 2012 Sep;29(13):2283-96. doi: 10.1089\/neu.2012.2456. Epub 2012 Aug 3. PMC3430487","Washington PM, Forcelli PA, Wilkins T, Zapple DN, Parsadanian M, Burns MP. The effect of injury severity on behavior: a phenotypic study of cognitive and emotional deficits after mild, moderate, and severe controlled cortical impact injury in miceJ Neurotrauma. 2012 Sep;29(13):2283-96. doi: 10.1089\/neu.2012.2456. Epub 2012 Aug 3. PMC3430487",male,male,Electromaticalic controlled cortical impact device,Controlled cortical impact model
,26.96 - 28.88 g,https://doi.org/10.1089%2Fneu.2011.2303,PMID:22738159,"Hemerka JN, Wu X, Dixon CE, Garman RH, Exo JL, Shellington DK, Blasiole B, Vagni VA, Janesko-Feldman K, Xu M, Wisniewski SR, Bayır H, Jenkins LW, Clark RS, Tisherman SA, Kochanek PM. Severe brief pressure-controlled hemorrhagic shock after traumatic brain injury exacerbates functional deficits and long-term neuropathological damage in miceJ Neurotrauma. 2012 Aug 10;29(12):2192-208. doi: 10.1089\/neu.2011.2303. PMC3472682","Hemerka JN, Wu X, Dixon CE, Garman RH, Exo JL, Shellington DK, Blasiole B, Vagni VA, Janesko-Feldman K, Xu M, Wisniewski SR, Bayır H, Jenkins LW, Clark RS, Tisherman SA, Kochanek PM. Severe brief pressure-controlled hemorrhagic shock after traumatic brain injury exacerbates functional deficits and long-term neuropathological damage in miceJ Neurotrauma. 2012 Aug 10;29(12):2192-208. doi: 10.1089\/neu.2011.2303. PMC3472682",male,male,mouse,C57BL,C57BL/6,,46,"Hemerka JN, Wu X, Dixon CE, Garman RH, Exo JL, Shellington DK, Blasiole B, Vagni VA, Janesko-Feldman K, Xu M, Wisniewski SR, Bayır H, Jenkins LW, Clark RS, Tisherman SA, Kochanek PM. Severe brief pressure-controlled hemorrhagic shock after traumatic brain injury exacerbates functional deficits and long-term neuropathological damage in miceJ Neurotrauma. 2012 Aug 10;29(12):2192-208. doi: 10.1089\/neu.2011.2303. PMC3472682","Hemerka JN, Wu X, Dixon CE, Garman RH, Exo JL, Shellington DK, Blasiole B, Vagni VA, Janesko-Feldman K, Xu M, Wisniewski SR, Bayır H, Jenkins LW, Clark RS, Tisherman SA, Kochanek PM. Severe brief pressure-controlled hemorrhagic shock after traumatic brain injury exacerbates functional deficits and long-term neuropathological damage in miceJ Neurotrauma. 2012 Aug 10;29(12):2192-208. doi: 10.1089\/neu.2011.2303. PMC3472682",male,male,pneumatic impact device,Controlled cortical impact model
Adult,300 - 325 g,https://doi.org/10.1089%2Fneu.2012.2462,PMID:23094804,"Shin SS, Bales JW, Yan HQ, Kline AE, Wagner AK, Lyons-Weiler J, Dixon CE. The effect of environmental enrichment on substantia nigra gene expression after traumatic brain injury in ratsJ Neurotrauma. 2013 Feb 15;30(4):259-70. doi: 10.1089\/neu.2012.2462. Epub 2013 Feb 5. PMC3579325","Shin SS, Bales JW, Yan HQ, Kline AE, Wagner AK, Lyons-Weiler J, Dixon CE. The effect of environmental enrichment on substantia nigra gene expression after traumatic brain injury in ratsJ Neurotrauma. 2013 Feb 15;30(4):259-70. doi: 10.1089\/neu.2012.2462. Epub 2013 Feb 5. PMC3579325",male,male,rat,Sprague-Dawley,Sprague-Dawley,,48,"Shin SS, Bales JW, Yan HQ, Kline AE, Wagner AK, Lyons-Weiler J, Dixon CE. The effect of environmental enrichment on substantia nigra gene expression after traumatic brain injury in ratsJ Neurotrauma. 2013 Feb 15;30(4):259-70. doi: 10.1089\/neu.2012.2462. Epub 2013 Feb 5. PMC3579325","Shin SS, Bales JW, Yan HQ, Kline AE, Wagner AK, Lyons-Weiler J, Dixon CE. The effect of environmental enrichment on substantia nigra gene expression after traumatic brain injury in ratsJ Neurotrauma. 2013 Feb 15;30(4):259-70. doi: 10.1089\/neu.2012.2462. Epub 2013 Feb 5. PMC3579325",male,male,pneumatic cylinder,Controlled cortical impact model
Adult,,https://doi.org/10.1089%2Fneu.2013.3255,PMID:24766454,"Petraglia AL, Plog BA, Dayawansa S, Chen M, Dashnaw ML, Czerniecka K, Walker CT, Viterise T, Hyrien O, Iliff JJ, Deane R, Nedergaard M, Huang JH. The spectrum of neurobehavioral sequelae after repetitive mild traumatic brain injury: a novel mouse model of chronic traumatic encephalopathyJ Neurotrauma. 2014 Jul 1;31(13):1211-24. doi: 10.1089\/neu.2013.3255. Epub 2014 Jun 12. PMC4082360","Petraglia AL, Plog BA, Dayawansa S, Chen M, Dashnaw ML, Czerniecka K, Walker CT, Viterise T, Hyrien O, Iliff JJ, Deane R, Nedergaard M, Huang JH. The spectrum of neurobehavioral sequelae after repetitive mild traumatic brain injury: a novel mouse model of chronic traumatic encephalopathyJ Neurotrauma. 2014 Jul 1;31(13):1211-24. doi: 10.1089\/neu.2013.3255. Epub 2014 Jun 12. PMC4082360",male,male,mouse,C57BL,C57BL/6J,,55,"Petraglia AL, Plog BA, Dayawansa S, Chen M, Dashnaw ML, Czerniecka K, Walker CT, Viterise T, Hyrien O, Iliff JJ, Deane R, Nedergaard M, Huang JH. The spectrum of neurobehavioral sequelae after repetitive mild traumatic brain injury: a novel mouse model of chronic traumatic encephalopathyJ Neurotrauma. 2014 Jul 1;31(13):1211-24. doi: 10.1089\/neu.2013.3255. Epub 2014 Jun 12. PMC4082360","Petraglia AL, Plog BA, Dayawansa S, Chen M, Dashnaw ML, Czerniecka K, Walker CT, Viterise T, Hyrien O, Iliff JJ, Deane R, Nedergaard M, Huang JH. The spectrum of neurobehavioral sequelae after repetitive mild traumatic brain injury: a novel mouse model of chronic traumatic encephalopathyJ Neurotrauma. 2014 Jul 1;31(13):1211-24. doi: 10.1089\/neu.2013.3255. Epub 2014 Jun 12. PMC4082360",male,male,Controlled cortical impact device,Controlled cortical impact model
,,https://doi.org/10.1089%2Fneu.2013.2985,PMID:24773520,"Shein SL, Shellington DK, Exo JL, Jackson TC, Wisniewski SR, Jackson EK, Vagni VA, Bayır H, Clark RS, Dixon CE, Janesko-Feldman KL, Kochanek PM. Hemorrhagic shock shifts the serum cytokine profile from pro- to anti-inflammatory after experimental traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1386-95. doi: 10.1089\/neu.2013.2985. PMC4186809","Shein SL, Shellington DK, Exo JL, Jackson TC, Wisniewski SR, Jackson EK, Vagni VA, Bayır H, Clark RS, Dixon CE, Janesko-Feldman KL, Kochanek PM. Hemorrhagic shock shifts the serum cytokine profile from pro- to anti-inflammatory after experimental traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1386-95. doi: 10.1089\/neu.2013.2985. PMC4186809",male,male,mouse,C57BL,C57BL/6J,,57,"Shein SL, Shellington DK, Exo JL, Jackson TC, Wisniewski SR, Jackson EK, Vagni VA, Bayır H, Clark RS, Dixon CE, Janesko-Feldman KL, Kochanek PM. Hemorrhagic shock shifts the serum cytokine profile from pro- to anti-inflammatory after experimental traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1386-95. doi: 10.1089\/neu.2013.2985. PMC4186809","Shein SL, Shellington DK, Exo JL, Jackson TC, Wisniewski SR, Jackson EK, Vagni VA, Bayır H, Clark RS, Dixon CE, Janesko-Feldman KL, Kochanek PM. Hemorrhagic shock shifts the serum cytokine profile from pro- to anti-inflammatory after experimental traumatic brain injury in miceJ Neurotrauma. 2014 Aug 15;31(16):1386-95. doi: 10.1089\/neu.2013.2985. PMC4186809",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,250 - 350 g,https://doi.org/10.1371/journal.pone.0114173,PMID:25478693,"Li W, Long JA, Watts LT, Jiang Z, Shen Q, Li Y, Duong TQ. A quantitative MRI method for imaging blood-brain barrier leakage in experimental traumatic brain injuryPLoS One. 2014 Dec 5;9(12):e114173. doi: 10.1371\/journal.pone.0114173. eCollection 2014. PMC4257611","Li W, Long JA, Watts LT, Jiang Z, Shen Q, Li Y, Duong TQ. A quantitative MRI method for imaging blood-brain barrier leakage in experimental traumatic brain injuryPLoS One. 2014 Dec 5;9(12):e114173. doi: 10.1371\/journal.pone.0114173. eCollection 2014. PMC4257611",male,male,rat,Sprague-Dawley,Sprague-Dawley,,58,"Li W, Long JA, Watts LT, Jiang Z, Shen Q, Li Y, Duong TQ. A quantitative MRI method for imaging blood-brain barrier leakage in experimental traumatic brain injuryPLoS One. 2014 Dec 5;9(12):e114173. doi: 10.1371\/journal.pone.0114173. eCollection 2014. PMC4257611","Li W, Long JA, Watts LT, Jiang Z, Shen Q, Li Y, Duong TQ. A quantitative MRI method for imaging blood-brain barrier leakage in experimental traumatic brain injuryPLoS One. 2014 Dec 5;9(12):e114173. doi: 10.1371\/journal.pone.0114173. eCollection 2014. PMC4257611",male,male,pneumatically controlled cortical impact device,Controlled cortical impact model
,,https://doi.org/10.1152%2Fjn.00970.2014,PMID:25695652,"Goddeyne C, Nichols J, Wu C, Anderson T. Repetitive mild traumatic brain injury induces ventriculomegaly and cortical thinning in juvenile ratsJ Neurophysiol. 2015 May 1;113(9):3268-80. doi: 10.1152\/jn.00970.2014. Epub 2015 Feb 18. PMC4440238","Goddeyne C, Nichols J, Wu C, Anderson T. Repetitive mild traumatic brain injury induces ventriculomegaly and cortical thinning in juvenile ratsJ Neurophysiol. 2015 May 1;113(9):3268-80. doi: 10.1152\/jn.00970.2014. Epub 2015 Feb 18. PMC4440238",male,male,rat,Sprague-Dawley,Sprague-Dawley,,60,"Goddeyne C, Nichols J, Wu C, Anderson T. Repetitive mild traumatic brain injury induces ventriculomegaly and cortical thinning in juvenile ratsJ Neurophysiol. 2015 May 1;113(9):3268-80. doi: 10.1152\/jn.00970.2014. Epub 2015 Feb 18. PMC4440238","Goddeyne C, Nichols J, Wu C, Anderson T. Repetitive mild traumatic brain injury induces ventriculomegaly and cortical thinning in juvenile ratsJ Neurophysiol. 2015 May 1;113(9):3268-80. doi: 10.1152\/jn.00970.2014. Epub 2015 Feb 18. PMC4440238",male,male,weight-drop device,Weight-drop model
,220 - 260 g,https://doi.org/10.1007%2Fs10571-015-0159-9,PMID:25638565,"Cheng T, Yang B, Li D, Ma S, Tian Y, Qu R, Zhang W, Zhang Y, Hu K, Guan F, Wang J. Wharton's Jelly Transplantation Improves Neurologic Function in a Rat Model of Traumatic Brain InjuryCell Mol Neurobiol. 2015 Jul;35(5):641-9. doi: 10.1007\/s10571-015-0159-9. Epub 2015 Feb 1. PMC4481175","Cheng T, Yang B, Li D, Ma S, Tian Y, Qu R, Zhang W, Zhang Y, Hu K, Guan F, Wang J. Wharton's Jelly Transplantation Improves Neurologic Function in a Rat Model of Traumatic Brain InjuryCell Mol Neurobiol. 2015 Jul;35(5):641-9. doi: 10.1007\/s10571-015-0159-9. Epub 2015 Feb 1. PMC4481175",male,male,rat,Sprague-Dawley,Sprague-Dawley,,61,"Cheng T, Yang B, Li D, Ma S, Tian Y, Qu R, Zhang W, Zhang Y, Hu K, Guan F, Wang J. Wharton's Jelly Transplantation Improves Neurologic Function in a Rat Model of Traumatic Brain InjuryCell Mol Neurobiol. 2015 Jul;35(5):641-9. doi: 10.1007\/s10571-015-0159-9. Epub 2015 Feb 1. PMC4481175","Cheng T, Yang B, Li D, Ma S, Tian Y, Qu R, Zhang W, Zhang Y, Hu K, Guan F, Wang J. Wharton's Jelly Transplantation Improves Neurologic Function in a Rat Model of Traumatic Brain InjuryCell Mol Neurobiol. 2015 Jul;35(5):641-9. doi: 10.1007\/s10571-015-0159-9. Epub 2015 Feb 1. PMC4481175",male,male,weight-drop device,Weight-drop model
,30 - 40 g,https://doi.org/10.1002%2Fjnr.23714,PMID:26822127,"Song S, Kong X, Acosta S, Sava V, Borlongan C, Sanchez-Ramos J. Granulocyte colony-stimulating factor promotes behavioral recovery in a mouse model of traumatic brain injuryJ Neurosci Res. 2016 May;94(5):409-23. doi: 10.1002\/jnr.23714. Epub 2016 Jan 29. PMC4805459","Song S, Kong X, Acosta S, Sava V, Borlongan C, Sanchez-Ramos J. Granulocyte colony-stimulating factor promotes behavioral recovery in a mouse model of traumatic brain injuryJ Neurosci Res. 2016 May;94(5):409-23. doi: 10.1002\/jnr.23714. Epub 2016 Jan 29. PMC4805459",male,male,mouse,C57BL,C57BL/6J,,64,"Song S, Kong X, Acosta S, Sava V, Borlongan C, Sanchez-Ramos J. Granulocyte colony-stimulating factor promotes behavioral recovery in a mouse model of traumatic brain injuryJ Neurosci Res. 2016 May;94(5):409-23. doi: 10.1002\/jnr.23714. Epub 2016 Jan 29. PMC4805459","Song S, Kong X, Acosta S, Sava V, Borlongan C, Sanchez-Ramos J. Granulocyte colony-stimulating factor promotes behavioral recovery in a mouse model of traumatic brain injuryJ Neurosci Res. 2016 May;94(5):409-23. doi: 10.1002\/jnr.23714. Epub 2016 Jan 29. PMC4805459",male,male,pneumatically operated TBI device ,Controlled cortical impact model
,20 - 28 g,https://doi.org/10.1016%2Fj.jss.2015.02.064,PMID:25846728,"Midura EF, Jernigan PL, Kuethe JW, Friend LA, Veile R, Makley AT, Caldwell CC, Goodman MD. Microparticles impact coagulation after traumatic brain injuryJ Surg Res. 2015 Jul;197(1):25-31. doi: 10.1016\/j.jss.2015.02.064. Epub 2015 Mar 5. PMC5857955","Midura EF, Jernigan PL, Kuethe JW, Friend LA, Veile R, Makley AT, Caldwell CC, Goodman MD. Microparticles impact coagulation after traumatic brain injuryJ Surg Res. 2015 Jul;197(1):25-31. doi: 10.1016\/j.jss.2015.02.064. Epub 2015 Mar 5. PMC5857955",male,male,mouse,C57BL,C57BL/6,,71,"Midura EF, Jernigan PL, Kuethe JW, Friend LA, Veile R, Makley AT, Caldwell CC, Goodman MD. Microparticles impact coagulation after traumatic brain injuryJ Surg Res. 2015 Jul;197(1):25-31. doi: 10.1016\/j.jss.2015.02.064. Epub 2015 Mar 5. PMC5857955","Midura EF, Jernigan PL, Kuethe JW, Friend LA, Veile R, Makley AT, Caldwell CC, Goodman MD. Microparticles impact coagulation after traumatic brain injuryJ Surg Res. 2015 Jul;197(1):25-31. doi: 10.1016\/j.jss.2015.02.064. Epub 2015 Mar 5. PMC5857955",male,male,weight-drop device,Weight-drop model
